group,n,mean_plddt,mean_oracle,mean_mahal,mean_glp_resid
sol_easy_L17_a10_GLP_u0.5,100,0.3506127095222473,0.46942599348999997,727.5606814575195,129.96929374694824
sol_easy_L17_a5_GLPmask_u0.5,100,0.3944255718588829,0.24114935695700002,752.3316439819336,135.73570838928222
sol_easy_L17_a10_GLP_u0.3,100,0.35692269176244734,0.5702897191,763.3894189453125,130.13444885253907
sol_easy_allL_a2.5_L17GLP_u0.1,100,0.5022978588938714,0.9629099426000001,769.4129217529297,128.76118629455567
sol_easy_L17post_a1_GLP_u0.5,100,0.3222798764705658,0.43917068837,777.4520764160156,131.43733901977538
sol_easy_allL_a1_L17GLPmask_u0.5,100,0.31365506172180174,0.539389589129,778.3417111206055,132.67662826538086
sol_easy_allL_a2.2_L17GLP_u0.1,100,0.4823955610394478,0.9193629952000001,803.1514794921875,130.45478118896483
sol_easy_allL_a1_L17GLP_u0.5,100,0.3281573390960693,0.59860472312,805.3299627685547,132.55574829101562
sol_easy_L17post_a3,100,0.4966386502981186,0.9768388500999999,813.9548809814453,129.26045944213868
sol_easy_allL_a2.8_L17GLP_u0.1,100,0.5065077981352806,0.9715075928,815.5934558105469,129.73345512390136
sol_easy_L17_a5_GLP_u1.0,100,0.4458042152225971,0.21235092094900002,823.0270150756836,138.52577308654784
sol_easy_L17_a5_GLPmask_u0.8,100,0.43538594752550125,0.25330169783190004,824.7643887329101,138.71143394470215
sol_easy_L17post_a2_GLP_u0.5,100,0.45286534070968626,0.51564050856,832.3970196533203,131.90516319274903
sol_easy_L17_a5_GLPmask_u0.9,100,0.4401798936724663,0.2543139398053,835.4981512451172,138.92483367919922
sol_easy_allL_a1.5_L17GLP_u0.1,100,0.36385865092277525,0.6793609353,836.1472589111328,131.4117919921875
sol_easy_L17post_a2,100,0.4400268462300301,0.47972260336,837.0521728515625,131.47187644958495
sol_easy_L17_a5_GLPmask_u0.7,100,0.42351202338933946,0.226068234034,843.2346102905274,140.09356925964354
sol_easy_L17post_a3_GLP_u0.5,100,0.49663774579763414,0.9803324632,854.0608441162109,130.46773933410645
sol_easy_L17_a5_GLP_u0.7,100,0.43337119072675706,0.28680328726,856.0646740722656,140.32764274597167
sol_easy_L17_a5,100,0.450310770124197,0.201064482563,872.4351541137695,140.68916862487794
sol_easy_L17_a5_GLP_u0.8,100,0.44862051010131837,0.260236806773,876.4105380249024,140.40336433410644
sol_easy_allL_a5_L17GLP_u0.5,100,0.5623980444669724,0.9671898588000001,890.1875256347656,133.9719514465332
sol_easy_L17_a5_GLP_u0.9,100,0.44012140601873395,0.25815405752700005,896.5428063964844,141.77864639282225
sol_easy_allL_a3_L17GLP_u0.5,100,0.5371827548742294,0.9847920125,902.0419421386719,135.02732734680177
sol_easy_allL_a4_L17GLP_u0.5,100,0.5314874991774559,0.9822485708,902.3951043701172,132.76564758300782
sol_easy_allL_a2.8_L17GLP_u0.5,100,0.5435566437244416,0.9913376574,913.698720703125,136.25187713623046
sol_easy_allL_a3_L17GLPmask_u0.1,100,0.48453701108694075,0.8550251887,923.2496923828126,132.12969100952148
sol_easy_allL_a4_L17GLPmask_u0.5,100,0.5453067854046821,0.981888964,925.4302416992188,134.72109169006347
sol_easy_allL_a5_L17GLPmask_u0.5,100,0.5705470219254494,0.9695065393,926.4017535400391,135.5674383544922
sol_easy_L17_a3_GLPmask_u0.3,100,0.4538455301523209,0.2988679627007,935.1456274414063,143.8880015563965
sol_easy_allL_a2_L17GLPmask_u0.1,100,0.4264223220944405,0.6290107421,944.4318518066407,134.3005150604248
sol_easy_allL_a2_L17GLP_u0.7,100,0.5057687023282051,0.6308165299,944.4731567382812,137.3432781982422
sol_easy_L17_a3_GLP_u0.5,100,0.4657341656088829,0.259350350611,944.6449462890625,143.83028045654297
sol_easy_allL_a5,100,0.5746742126345634,0.9705386509,950.1206457519531,136.94295516967773
sol_easy_allL_a2.5_L17GLP_u0.5,100,0.5440607523918152,0.9565491376,950.1945642089844,138.29034606933592
sol_easy_allL_a2_L17GLPmask_u0.5,100,0.4453847590088844,0.6298087953,957.8587658691406,137.7000619506836
sol_easy_allL_a3_L17GLPmask_u0.5,100,0.5587072548270225,0.940236825,962.9347106933594,138.18033767700194
sol_easy_allL_a4,100,0.5668412357568741,0.9910841797000001,975.7562762451172,138.2332307434082
sol_easy_allL_a2.2_L17GLP_u0.9,100,0.529729525744915,0.7037839867,991.6397198486328,139.30834991455077
sol_easy_allL_a2_L17GLP_u0.9,100,0.4766641706228256,0.6244484885,992.4418859863281,138.1293309020996
sol_easy_L17_a2_GLPmask_u0.3,100,0.4914925563335419,0.244705998847,995.848745727539,146.7808097076416
sol_easy_allL_a2.2_L17GLP_u0.5,100,0.5321902599930763,0.7935992619,1000.4798638916016,139.97822555541993
sol_easy_allL_a2_L17GLPmask_u0.9,100,0.4719549685716629,0.6497510991,1004.1016680908203,138.27088577270507
sol_easy_allL_a2_L17GLP_u0.3,100,0.5329712867736817,0.6733548149,1005.4495104980468,139.7751513671875
sol_easy_allL_a1.5_L17GLP_u0.9,100,0.35759181588888167,0.567334402,1006.4955078125,135.79898651123048
sol_easy_allL_a2.2,100,0.5326603955030441,0.6922027812,1012.637601928711,139.90210220336914
sol_easy_allL_a2_full500,500,0.48293568032979967,,1013.1559649658203,138.9214162902832
sol_easy_allL_a2,100,0.48044842302799223,0.6636833156,1014.2741156005859,138.67101226806642
sol_easy_allL_a1.5,100,0.36967873871326445,0.579632241,1030.0811810302735,135.37519996643067
sol_easy_allL_a2_L17GLP_u0.5,100,0.5260660645365715,0.6481494338,1032.6644024658203,141.45872314453126
sol_easy_L17_a2_GLP_u0.5,100,0.5074582248926163,0.2240765457985,1033.0349172973633,147.88448486328124
sol_easy_L17_a3_GLPmask_u0.5,100,0.5308087334036827,0.26503793979699997,1072.3502963256835,149.89470329284669
sol_easy_L17_a3_GLP_u0.7,100,0.5576942655444145,0.260426978383,1083.8397625732423,150.03105102539064
sol_easy_L17_a1_GLP_u0.5,100,0.5298866930603982,0.2367492826175,1084.046031188965,150.39139434814453
sol_easy_L17_a1_GLPmask_u0.3,100,0.5370015686750412,0.2375802455355,1084.200252685547,150.17859092712402
sol_easy_allL_a1.5_L17GLP_u0.5,100,0.458484568297863,0.49334766046,1085.822455444336,141.66584869384766
sol_easy_allL_a2.5_L17GLP_u0.9,100,0.5332563269138336,0.8374025373,1098.152055053711,143.65258697509765
sol_easy_allL_a3_L17GLP_u0.9,100,0.5449647545814514,0.9718704059,1102.9267846679688,144.2841241455078
sol_easy_allL_a3_L17GLPmask_u0.9,100,0.5404912838339806,0.9671905599999999,1103.9411303710938,144.40764068603517
sol_easy_L17_a0_GLP_u0.5,100,0.551182741522789,0.20548034168200002,1104.2484606933594,151.65492500305174
sol_easy_allL_a2.8_L17GLP_u0.9,100,0.5398289608955383,0.9575299085000001,1119.6355487060546,144.71804748535158
sol_easy_L17_a3_GLP_u0.8,100,0.5900975856184959,0.2448323306911,1130.1841439819336,152.132900390625
sol_easy_allL_a3,100,0.5392980256676674,0.9714019978999999,1136.2175762939453,145.4338607788086
sol_easy_allL_a2.5,100,0.5357436108589172,0.8441953439,1138.8501715087891,144.96954147338866
sol_easy_L17_a3_GLPmask_u0.9,100,0.5864549976587295,0.23205081354579998,1140.697218017578,152.39578605651855
sol_easy_L17_a3_GLP_u1.0,100,0.5899073979258538,0.2684459751712,1142.184641723633,152.5803672027588
sol_easy_L17_a3,100,0.5903418728709221,0.2507538714689,1142.621329345703,152.55561584472656
sol_easy_allL_a3_full500,500,0.5377304676175118,,1142.6869025878907,145.67859548950196
sol_easy_L17_a3_GLPmask_u0.8,100,0.5881442433595657,0.307398120302,1145.7421157836914,152.5244686126709
sol_easy_L17_a2_GLPmask_u0.5,100,0.5882377651333809,0.2764464987556,1153.3155737304687,153.07918884277345
sol_easy_L17_a3_GLP_u0.9,100,0.5953706133365632,0.2435397254158,1161.5265460205078,153.21975036621095
sol_easy_L17_a3_GLPmask_u0.7,100,0.5829402580857277,0.2901891516014,1163.4487088012695,153.57727195739747
sol_easy_allL_a2.8,100,0.5324042949080467,0.9357828109,1166.8159161376952,146.1154183959961
sol_easy_L17_a2_GLPmask_u0.9,100,0.6238695052266121,0.2473242352258,1174.9977145385742,154.0765286254883
sol_easy_L17_a2_GLPmask_u0.8,100,0.6276255246996879,0.30033741107899997,1190.2932470703124,154.37840728759767
sol_easy_L17_a2_GLPmask_u0.7,100,0.6229925435781479,0.2797738960005,1193.320834350586,154.60170356750487
sol_easy_L17_a1_GLPmask_u0.5,100,0.6122408893704414,0.256594193064,1198.3105117797852,155.07953620910644
sol_easy_L17_a2_GLP_u0.9,100,0.6203129217028618,0.2614511663757,1201.2499536132811,154.90091842651367
sol_easy_L17_a2_GLP_u0.8,100,0.6139099818468093,0.26683766739824,1204.4210589599609,155.28349014282227
sol_easy_L17_a2_GLP_u0.7,100,0.6057183584570884,0.2713075384702,1205.9959356689453,155.32911010742188
sol_easy_L17_a2,100,0.6260487264394761,0.2931640811458,1206.4369281005859,155.52219009399414
sol_easy_L17_a2_GLP_u1.0,100,0.6246803411841393,0.2854657380147,1207.3281771850586,155.50801010131835
sol_easy_L17_a1_GLP_u0.9,100,0.651300257742405,0.2948264805672,1210.3063665771485,155.499545211792
